episode_id,symbol,cik,name,sector,included_in_quality_universe,first_observed_month,last_observed_month,episode_start,episode_end,months_observed,legacy,legacy_class,current_symbols_for_cik,current_ciks_for_symbol,yahoo_symbol,download_error,raw_history_available,first_price_date,last_price_date,warmup_sessions,indicator_warmup_ready,expected_sessions,observed_sessions,session_coverage,terminal_price_present,short_episode_probe,passes
BG|0001144519|1|2023-03|1,BG,0001144519,Bunge Limited,Consumer Staples,True,2023-03,2023-10,2023-03-31,2023-10-31,8,True,ENTITY_CHANGED_OR_SYMBOL_REUSED,[],['0001996862'],BG,,True,2022-02-24,2023-12-08,276,True,148,148,1.0,True,False,True
BHF|0001685040|0|2017-08|1,BHF,0001685040,Brighthouse Financial Inc,Financials,False,2017-08,2019-03,2017-08-31,2019-03-31,20,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],BHF,,True,2017-07-17,2019-05-10,33,False,396,396,1.0,True,False,True
BHGE|0001701605|1|2017-07|1,BHGE,0001701605,"Baker Hughes, a GE Company",Energy,True,2017-07,2019-09,2017-07-31,2019-09-30,27,True,TICKER_OR_SHARE_CLASS_CHANGED,['BKR'],[],BHGE,EMPTY_DOWNLOAD,False,,,0,False,546,0,0.0,False,False,False
BHI|0000808362|1|2015-10|1,BHI,0000808362,Baker Hughes Inc,Energy,True,2015-10,2017-06,2015-10-31,2017-06-30,21,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],BHI,EMPTY_DOWNLOAD,False,,,0,False,419,0,0.0,False,False,False
BIO|0000012208|1|2020-07|1,BIO,0000012208,Bio-Rad Laboratories,Health Care,True,2020-07,2024-08,2020-07-31,2024-08-31,50,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],BIO,,True,2019-06-27,2024-10-10,276,True,1028,1028,1.0,True,False,True
BK|0001390777|0|2015-10|1,BK,0001390777,BNY Mellon,Financials,False,2015-10,2026-04,2015-10-31,2026-04-30,127,True,TICKER_OR_SHARE_CLASS_CHANGED,['BNY'],[],BK,EMPTY_DOWNLOAD,False,,,0,False,2638,0,0.0,False,False,False
BLK|0001364742|0|2015-10|1,BLK,0001364742,BlackRock,Financials,False,2015-10,2024-09,2015-10-31,2024-09-30,108,True,ENTITY_CHANGED_OR_SYMBOL_REUSED,[],['0002012383'],BLK,,True,2014-09-26,2024-11-08,277,True,2242,2242,1.0,True,False,True
BLL|0000009389|1|2015-10|1,BLL,0000009389,Ball,Materials,True,2015-10,2022-04,2015-10-31,2022-04-30,79,True,TICKER_OR_SHARE_CLASS_CHANGED,['BALL'],[],BLL,EMPTY_DOWNLOAD,False,,,0,False,1635,0,0.0,False,False,False
BRCM|0001054374|1|2015-10|1,BRCM,0001054374,Broadcom Corporation,Information Technology,True,2015-10,2015-12,2015-10-31,2015-12-31,3,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],BRCM,EMPTY_DOWNLOAD,False,,,0,False,42,0,0.0,False,False,False
BRK-B|0001067983|0|2015-10|1,BRK-B,0001067983,Berkshire Hathaway,Financials,False,2015-10,2017-01,2015-10-31,2017-01-31,16,True,TICKER_OR_SHARE_CLASS_CHANGED,['BRK.B'],[],BRK-B,,True,2014-09-26,2019-04-09,277,True,314,314,1.0,True,False,True
BRK-B|0001067983|0|2018-11|2,BRK-B,0001067983,Berkshire Hathaway,Financials,False,2018-11,2018-11,2018-11-30,2018-11-30,1,True,TICKER_OR_SHARE_CLASS_CHANGED,['BRK.B'],[],BRK-B,,True,2014-09-26,2019-04-09,276,True,1,1,1.0,True,True,True
